,zipcode,category,count,average_rating,average_review_count
239,15051,American,0,,
240,15051,Asian,0,,
241,15051,Latin,0,,
242,15051,Indian,0,,
243,15051,Bar,0,,
244,15051,Grocery,0,,
245,15642,All Restaurants,0,,
246,15642,American,0,,
247,15642,Asian,0,,
248,15642,Latin,0,,
249,15642,Indian,0,,
250,15642,Bar,0,,
251,15642,Grocery,0,,
252,15056,All Restaurants,0,,
253,15056,American,0,,
254,15056,Asian,0,,
255,15056,Latin,0,,
256,15056,Indian,0,,
257,15056,Bar,0,,
258,15056,Grocery,0,,
259,16046,All Restaurants,0,,
260,16046,American,0,,
261,16046,Asian,0,,
262,16046,Latin,0,,
263,16046,Indian,0,,
264,16046,Bar,0,,
265,16046,Grocery,0,,
266,15057,All Restaurants,0,,
267,15057,American,0,,
268,15057,Asian,0,,
269,15057,Latin,0,,
270,15057,Indian,0,,
271,15057,Bar,0,,
272,15057,Grocery,0,,
273,15136,All Restaurants,0,,
274,15136,American,0,,
275,15136,Asian,0,,
276,15136,Latin,0,,
277,15136,Indian,0,,
278,15136,Bar,0,,
279,15136,Grocery,0,,
280,15131,All Restaurants,0,,
281,15131,American,0,,
282,15131,Asian,0,,
283,15131,Latin,0,,
284,15131,Indian,0,,
285,15131,Bar,0,,
286,15131,Grocery,0,,
287,15132,All Restaurants,0,,
288,15132,American,0,,
289,15132,Asian,0,,
290,15132,Latin,0,,
291,15132,Indian,0,,
292,15132,Bar,0,,
293,15132,Grocery,0,,
294,15133,All Restaurants,0,,
295,15133,American,0,,
296,15133,Asian,0,,
297,15133,Latin,0,,
298,15133,Indian,0,,
299,15133,Bar,0,,
300,15133,Grocery,0,,
301,15135,All Restaurants,0,,
302,15135,American,0,,
303,15135,Asian,0,,
304,15135,Latin,0,,
305,15135,Indian,0,,
306,15135,Bar,0,,
307,15135,Grocery,0,,
308,15063,All Restaurants,0,,
309,15063,American,0,,
310,15063,Asian,0,,
311,15063,Latin,0,,
312,15063,Indian,0,,
313,15063,Bar,0,,
314,15063,Grocery,0,,
315,15146,All Restaurants,0,,
316,15146,American,0,,
317,15146,Asian,0,,
318,15146,Latin,0,,
319,15146,Indian,0,,
320,15146,Bar,0,,
321,15146,Grocery,0,,
322,15064,All Restaurants,0,,
323,15064,American,0,,
324,15064,Asian,0,,
325,15064,Latin,0,,
326,15064,Indian,0,,
327,15064,Bar,0,,
328,15064,Grocery,0,,
329,15668,All Restaurants,0,,
330,15668,American,0,,
331,15668,Asian,0,,
332,15668,Latin,0,,
333,15668,Indian,0,,
334,15668,Bar,0,,
335,15668,Grocery,0,,
336,15065,All Restaurants,0,,
337,15065,American,0,,
338,15065,Asian,0,,
339,15065,Latin,0,,
340,15065,Indian,0,,
341,15065,Bar,0,,
342,15065,Grocery,0,,
343,15068,All Restaurants,0,,
344,15068,American,0,,
345,15068,Asian,0,,
346,15068,Latin,0,,
347,15068,Indian,0,,
348,15068,Bar,0,,
349,15068,Grocery,0,,
350,15137,All Restaurants,0,,
351,15137,American,0,,
352,15137,Asian,0,,
353,15137,Latin,0,,
354,15137,Indian,0,,
355,15137,Bar,0,,
356,15137,Grocery,0,,
357,15071,All Restaurants,0,,
358,15071,American,0,,
359,15071,Asian,0,,
360,15071,Latin,0,,
361,15071,Indian,0,,
362,15071,Bar,0,,
363,15071,Grocery,0,,
364,15139,All Restaurants,0,,
365,15139,American,0,,
366,15139,Asian,0,,
367,15139,Latin,0,,
368,15139,Indian,0,,
369,15139,Bar,0,,
370,15139,Grocery,0,,
371,15140,All Restaurants,0,,
372,15140,American,0,,
373,15140,Asian,0,,
374,15140,Latin,0,,
375,15140,Indian,0,,
376,15140,Bar,0,,
377,15140,Grocery,0,,
378,15201,All Restaurants,0,,
379,15201,American,0,,
380,15201,Asian,0,,
381,15201,Latin,0,,
382,15201,Indian,0,,
383,15201,Bar,0,,
384,15201,Grocery,0,,
385,15202,All Restaurants,0,,
386,15202,American,0,,
387,15202,Asian,0,,
388,15202,Latin,0,,
389,15202,Indian,0,,
390,15202,Bar,0,,
391,15202,Grocery,0,,
392,15203,All Restaurants,0,,
393,15203,American,0,,
394,15203,Asian,0,,
395,15203,Latin,0,,
396,15203,Indian,0,,
397,15203,Bar,0,,
398,15203,Grocery,0,,
399,15204,All Restaurants,0,,
400,15204,American,0,,
401,15204,Asian,0,,
402,15204,Latin,0,,
403,15204,Indian,0,,
404,15204,Bar,0,,
405,15204,Grocery,0,,
406,15205,All Restaurants,0,,
407,15205,American,0,,
408,15205,Asian,0,,
409,15205,Latin,0,,
410,15205,Indian,0,,
411,15205,Bar,0,,
412,15205,Grocery,0,,
413,15206,All Restaurants,0,,
414,15206,American,0,,
415,15206,Asian,0,,
416,15206,Latin,0,,
417,15206,Indian,0,,
418,15206,Bar,0,,
419,15206,Grocery,0,,
420,15207,All Restaurants,0,,
421,15207,American,0,,
422,15207,Asian,0,,
423,15207,Latin,0,,
424,15207,Indian,0,,
425,15207,Bar,0,,
426,15207,Grocery,0,,
427,15208,All Restaurants,0,,
428,15208,American,0,,
429,15208,Asian,0,,
430,15208,Latin,0,,
431,15208,Indian,0,,
432,15208,Bar,0,,
433,15208,Grocery,0,,
434,15209,All Restaurants,0,,
435,15209,American,0,,
436,15209,Asian,0,,
437,15209,Latin,0,,
438,15209,Indian,0,,
439,15209,Bar,0,,
440,15209,Grocery,0,,
441,15210,All Restaurants,0,,
442,15210,American,0,,
443,15210,Asian,0,,
444,15210,Latin,0,,
445,15210,Indian,0,,
446,15210,Bar,0,,
447,15210,Grocery,0,,
448,15211,All Restaurants,0,,
449,15211,American,0,,
450,15211,Asian,0,,
451,15211,Latin,0,,
452,15211,Indian,0,,
453,15211,Bar,0,,
454,15211,Grocery,0,,
455,15212,All Restaurants,0,,
456,15212,American,0,,
457,15212,Asian,0,,
458,15212,Latin,0,,
459,15212,Indian,0,,
460,15212,Bar,0,,
461,15212,Grocery,0,,
462,15213,All Restaurants,0,,
463,15213,American,0,,
464,15213,Asian,0,,
465,15213,Latin,0,,
466,15213,Indian,0,,
467,15213,Bar,0,,
468,15213,Grocery,0,,
469,15214,All Restaurants,0,,
470,15214,American,0,,
471,15214,Asian,0,,
472,15214,Latin,0,,
473,15214,Indian,0,,
474,15214,Bar,0,,
475,15214,Grocery,0,,
476,15215,All Restaurants,0,,
477,15215,American,0,,
478,15215,Asian,0,,
479,15215,Latin,0,,
480,15215,Indian,0,,
481,15215,Bar,0,,
482,15215,Grocery,0,,
483,15216,All Restaurants,0,,
484,15216,American,0,,
485,15216,Asian,0,,
486,15216,Latin,0,,
487,15216,Indian,0,,
488,15216,Bar,0,,
489,15216,Grocery,0,,
490,15217,All Restaurants,0,,
491,15217,American,0,,
492,15217,Asian,0,,
493,15217,Latin,0,,
494,15217,Indian,0,,
495,15217,Bar,0,,
496,15217,Grocery,0,,
497,15218,All Restaurants,0,,
498,15218,American,0,,
499,15218,Asian,0,,
500,15218,Latin,0,,
501,15218,Indian,0,,
502,15218,Bar,0,,
503,15218,Grocery,0,,
504,15219,All Restaurants,0,,
505,15219,American,0,,
506,15219,Asian,0,,
507,15219,Latin,0,,
508,15219,Indian,0,,
509,15219,Bar,0,,
510,15219,Grocery,0,,
511,15220,All Restaurants,0,,
512,15220,American,0,,
513,15220,Asian,0,,
514,15220,Latin,0,,
515,15220,Indian,0,,
516,15220,Bar,0,,
517,15220,Grocery,0,,
518,15221,All Restaurants,0,,
519,15221,American,0,,
520,15221,Asian,0,,
521,15221,Latin,0,,
522,15221,Indian,0,,
523,15221,Bar,0,,
524,15221,Grocery,0,,
525,15222,All Restaurants,0,,
526,15222,American,0,,
527,15222,Asian,0,,
528,15222,Latin,0,,
529,15222,Indian,0,,
530,15222,Bar,0,,
531,15222,Grocery,0,,
532,15223,All Restaurants,0,,
533,15223,American,0,,
534,15223,Asian,0,,
