RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,seasAdj
61815,10475,New York,1001,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0,1,0,2,2,0,0,,,,,,,,0
96656,92114,California,1002,1,1,2,2,2,1,1,2,1,1,2,2,0,2,2,0,1,4,4,10,4,3,3,3,7,4,7,5,7,4,4,3,2,4,9,5,5,7,4,1,4,7,6,5,8,7,7,6,11,8,6,9,7,14,8,10,15,11,6,11,14,9,14,13,17,16,11,6,2,4,3,4,4,7,3,7,7,7,6,6,2,5,3,6,7,8,8,8,6,7,4,7,2,4,3,9,5,7,4,11,18,6,5,5,4,5,3,5,8,4,7,4,11,8,4,4,6,1,5,3,10,7,6,6,12,13,4,0
96464,91702,California,1003,3,0,2,3,1,1,0,1,3,4,2,2,6,2,5,1,10,10,14,9,6,4,4,7,5,5,7,5,3,2,2,2,3,3,0,1,8,3,3,6,4,4,1,1,5,5,5,6,2,5,5,6,4,6,3,10,3,8,5,5,7,8,8,9,8,8,8,3,4,5,4,3,6,7,4,2,3,9,7,8,6,5,2,3,4,5,7,5,8,12,4,5,4,6,2,4,6,8,6,11,6,10,6,9,12,9,5,6,9,5,9,16,7,9,13,7,7,7,8,3,8,10,4,8,11,10,4,0
65570,18702,Pennsylvania,1004,5,4,3,4,4,2,1,1,4,5,1,0,1,4,2,0,4,0,3,7,4,0,1,0,2,1,3,4,5,2,1,2,0,6,3,2,3,3,2,3,1,3,2,4,2,1,3,6,2,1,5,4,7,4,8,13,2,6,2,1,3,0,9,2,6,3,7,4,4,2,4,4,4,6,5,9,3,8,5,6,6,7,5,4,5,5,8,9,10,8,6,8,4,8,5,5,10,7,6,10,5,3,10,6,5,5,4,5,7,6,11,8,7,4,5,11,7,8,8,2,9,7,5,11,11,9,,0
72259,32835,Florida,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,12,14,22,15,22,18,25,12,13,17,12,9,22,16,17,18,13,19,9,23,16,20,21,13,17,19,29,20,23,17,14,21,6,21,20,18,20,12,32,28,20,26,19,19,20,17,19,9,17,31,28,29,29,31,26,16,18,17,13,20,30,39,22,30,23,19,18,16,18,17,22,25,17,25,22,18,10,31,17,23,17,17,28,24,20,25,20,20,27,0
60563,07052,New Jersey,1006,20,9,20,29,36,31,32,13,9,21,9,4,6,10,12,16,20,30,22,26,20,28,14,7,10,15,13,16,23,14,13,11,6,15,13,11,11,11,20,21,13,16,15,15,11,14,11,9,9,9,17,15,25,16,21,26,15,13,13,21,9,12,9,14,11,10,13,11,4,14,4,0,10,5,8,14,18,12,13,8,3,10,7,7,14,15,19,24,33,31,21,27,26,25,26,26,20,24,40,61,50,62,33,37,33,48,31,15,21,32,37,60,65,55,45,42,28,30,23,19,27,31,28,37,41,49,,0
76745,43551,Ohio,1007,9,8,8,7,10,7,6,5,7,4,9,6,6,7,4,10,7,15,11,6,4,8,7,5,5,6,5,5,9,7,2,7,12,8,3,3,8,3,6,9,4,6,7,1,4,8,5,3,6,11,4,11,6,4,10,6,1,1,11,6,2,7,13,7,6,14,9,10,10,11,5,1,10,3,8,4,15,10,6,10,11,5,9,5,8,10,17,20,17,14,5,13,6,9,6,6,9,14,11,10,11,9,13,11,9,16,8,11,11,14,14,9,10,11,6,11,9,4,7,9,16,9,19,15,19,7,,0
92309,78213,Texas,1008,10,2,5,6,12,9,6,8,5,6,3,3,3,2,8,13,7,8,6,7,9,5,1,4,4,2,9,6,3,9,5,1,1,7,1,3,6,4,3,5,7,7,3,5,3,4,2,5,1,3,4,4,3,5,4,11,6,2,2,1,10,4,9,7,5,8,2,5,4,8,7,6,8,6,6,9,8,9,5,6,4,7,6,9,14,15,9,12,9,14,10,10,6,11,7,7,12,6,17,14,9,13,14,12,10,16,10,12,7,7,19,10,11,10,11,9,18,7,7,9,15,8,15,12,9,10,,0
61153,08724,New Jersey,1009,5,3,2,8,6,7,7,6,4,6,4,1,4,4,5,6,14,6,10,8,7,9,2,5,4,10,10,15,14,19,10,7,6,4,1,7,4,6,8,6,9,6,9,8,6,11,3,4,4,10,13,12,10,8,9,10,16,15,10,8,6,8,8,12,23,13,14,11,14,16,12,5,7,6,16,7,21,19,11,12,7,13,7,6,5,13,14,14,25,20,18,21,14,9,11,5,12,19,17,18,15,19,32,13,13,18,11,9,12,13,20,32,15,25,24,21,11,19,11,9,6,16,17,19,20,30,,0
67595,23220,Virginia,1010,16,15,15,24,25,20,6,8,3,7,5,4,8,13,9,18,17,11,10,11,5,10,4,7,8,11,14,17,10,9,5,3,2,5,5,5,8,7,10,9,11,10,9,5,1,5,5,5,4,6,11,10,11,15,5,7,5,9,8,2,10,11,11,10,9,10,12,9,7,9,9,6,16,7,13,22,13,10,13,8,8,4,4,6,11,10,18,18,17,18,8,7,5,15,6,6,11,15,15,19,10,18,16,6,12,9,9,13,12,9,16,12,14,23,12,17,12,10,4,9,19,13,16,23,15,15,14,0
