RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
84620,60618,Illinois,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350200,355700,373700,375900,37e4,364700,354900,343200,331600,343500,359e3,368800,361300,355600,359400,367600,38e4,372e3,375200,338300,337800,316500,337300,323800,348100,359600,365600,37e4,37e4,388600,396700,399e3,402400,386300,390900,387700,392300,379800,364e3,364700,384600,401900,414900,420500,424900,415200,383e3,376e3,366500,379500,388400,388800
92036,77573,Texas,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191700,190800,190700,191900,191600,194600,190600,194400,194500,199200,197600,199300,200300,203300,205300,213800,216700,217100,216500,223900,230400,231800,23e4,228900,235100,237e3,239600,233e3,234300,235200,237100,234300,233700,235300,236200,239800,239100,238200,237800,239600,249100,249e3,241100,233400,232400,238200,242400,246700,252900,256200,257500,257200,256500,257800,259500,253e3,252400,251400,258800,257800,255500,256800,260600,260800,268100,260600
92045,77584,Texas,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174100,183100,188e3,192300,193600,192900,189900,191600,192300,194300,192200,195200,195300,197e3,193e3,194600,193800,199100,206200,208700,208300,202600,205800,206800,216300,224100,231200,231500,227300,220800,218300,218200,221200,227600,231500,234600,234e3,233e3,236600,236500,242900,246800,251300,255100,263600,262900,262600,257700,258100,255900,248800,247500,249100,251300,249200,247900,253400,255800,251400,254500,257300,264100,254700,251300,248600,252900,254800
69816,28269,North Carolina,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163300,165e3,162700,166100,166300,168800,167e3,175400,177200,180400,172800,175900,175100,178700,182e3,179500,175900,172800,177900,182300,184e3,184100,180900,179e3,180100,185200,191500,192600,191200,192800,195700,197e3,200200,200400,199500,192200,195700,
66126,20002,District of Columbia,15,401200,399500,344300,327500,348e3,365e3,372800,367400,363e3,345300,316800,312400,305200,322800,296300,286800,295800,330600,336700,321900,318700,316e3,324500,318800,314600,296900,291900,300500,307200,318700,345e3,354900,378e3,354300,363800,356900,357700,345100,324e3,332500,341400,348600,336800,354100,343300,368e3,328700,361900,343e3,368e3,345200,367900,385300,404100,420300,417200,415400,395200,396500,402600,408100,412500,416300,424400,431600,440400,467900,475500,475700,463e3,457200,464900,469800,461200,433300,437300,468200,494700,502200,505300,517400,514700,512100,513400,514900,519400,500600,507100,508900,532200,527800,526600,526900,527200,534400,525500,527400,528600,537900,522e3,516500,517500,532200,561100,566300,574800,535300,578300,585800,612200,565900,564400,570500,586700,601800,591300,576700,584200,612100,654100,651900,629300,604400,585800,595400,600900,612500,605900
92271,78130,Texas,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197100,198100,194900,188700,189900,185200,188e3,191200,196300,199500,200400,199800,197200,198300,203100,201e3,201600,203400,208e3,203800,203300,209e3,220600,219400,215300,209200,212900,220700,227e3,228500,222900,217900,215700,229400,228200,231500,225700,226e3,221800,218200,218500
97771,94565,California,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273100,279800,331100,343900,337700,290600,286700,288e3,284400,296700,295200,297800,287200,305200,310600,316900,31e4,313600,318800,327700,335200,335e3,326700,330700,337700,347600,349600,347400,354700,356900,36e4,354500,356200,354800,371300,371800,385600,374500,374300,372200,388600,392600,388700,388800,401e3,413500,417200,406600,410900,416400,433700,427e3,425800,421600,435300,436e3,436e3,436800,
93123,79912,Texas,18,204600,204100,196600,186300,175e3,180800,183e3,193700,193900,192600,198200,201700,216200,207500,202300,186e3,179300,178600,178300,177300,173300,172800,189e3,201100,202800,189e3,183700,178600,180300,181500,205500,207300,202e3,188700,192800,208600,204700,196900,194900,192800,196e3,185500,192e3,186900,171100,168600,177700,202600,188600,189100,175300,175e3,162100,171800,191800,197700,182600,172200,174200,181500,178700,182600,183400,189400,184600,181800,179300,196700,194100,193300,183200,190300,181300,174700,170700,179300,186500,189700,190900,178200,176900,165900,166600,158500,171700,173400,182100,182600,188e3,191200,186400,186300,188900,192500,192900,197700,194800,187800,179300,178600,184900,177500,178300,183400,187700,193300,187900,188900,191400,198100,196400,186900,176500,192900,197800,203400,201300,204200,207200,198700,198600,199600,203100,208800,201900,201100,192600,190600
92551,78613,Texas,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250300,252400,254e3,253400,253300,256900,251800,249700,246800,256400,263600,267900,266400,264700,266900,269500,272300,271600,272600,273300,276800,278300,278800,278700,284700,286200,288300,288500,287800,286900,277200,278900,271100,274500,276900,284200,287400,294e3,306300,307700,292400
90654,75052,Texas,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157900,162100,161800,164800,165300,164500,161e3,161700,163100,167100,167700,165600,167300,166300,169500,169300,169400,171200,171600,174700,176400,179800,180700,181600,181e3,182800,198800,202700,199800,188500,189100,188600,188300,191200,198500,197e3,194600,194100,202900,214700,219100,222900,220800,218700,211600,202700,202400,208700,214100,
