"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"77047","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",3993,1390,0,-0.000718907260963336,-0.00926585887384177,260
2018-09-30,"28786","NC","Asheville","Haywood","Waynesville",3994,1206,0,0.005,-0.00248138957816377,459
2018-09-30,"76109","TX","Dallas-Fort Worth-Arlington","Tarrant","Fort Worth",3995,1502,-0.00199335548172757,-0.0046388336646786,-0.0347043701799486,1038
2018-09-30,"98221","WA","Mount Vernon-Anacortes","Skagit","Anacortes",3996,1648,0.000607164541590771,0.00304321363359708,-0.0172927847346452,1153
2018-09-30,"74135","OK","Tulsa","Tulsa","Tulsa",3997,849,0,0,-0.0341296928327645,708
2018-09-30,"17109","PA","Harrisburg-Carlisle","Dauphin","Progress",3998,744,-0.00134228187919463,-0.00401606425702811,0.0276243093922652,106
2018-09-30,"02115","MA","Boston-Cambridge-Newton","Suffolk","Boston",3999,2826,0.00106269925611052,0.00748663101604278,0.0397350993377483,7863
2018-09-30,"98106","WA","Seattle-Tacoma-Bellevue","King","Seattle",4000,2096,0.000477326968973747,0.00143334925943622,-0.0260223048327138,1530
2018-09-30,"76011","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",4001,1194,0,0.000838222967309304,0.0337662337662338,1359
2018-09-30,"60646","IL","Chicago-Naperville-Elgin","Cook","Chicago",4002,1636,0.000611620795107034,-0.000610873549175321,-0.0221159593544531,842
2018-09-30,"60914","IL","Kankakee","Kankakee","Bourbonnais",4003,931,0.00323275862068966,0.00323275862068966,-0.00534188034188034,112
2018-09-30,"76110","TX","Dallas-Fort Worth-Arlington","Tarrant","Fort Worth",4004,1284,0.00234192037470726,0.00390930414386239,-0.0168453292496172,765
2018-09-30,"02760","MA","Providence-Warwick","Bristol","North Attleboro",4005,1399,0,-0.000714285714285714,-0.0244072524407252,2059
2018-09-30,"32539","FL","Crestview-Fort Walton Beach-Destin","Okaloosa","Crestview",4006,919,0,0,0.0648899188876014,603
2018-09-30,"60187","IL","Chicago-Naperville-Elgin","DuPage","Wheaton",4007,1449,0,0.00069060773480663,0.00835073068893528,1686
