"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-09-30,94141,"83355","ID",,"Gooding","Wendell",11523,164200,0.0340050377833753,0.0478621569878749,0.0648508430609598,,,"2018-09","2018-Q3",164200,0,"2018-09"
2018-09-30,94200,"83536","ID",,"Idaho","Kamiah",11524,169500,0.0161870503597122,0.0329067641681901,0.0694006309148265,,,"2018-09","2018-Q3",169500,0,"2018-09"
2018-09-30,63516,"14423","NY","Rochester","Livingston","Caledonia",11525,135400,0.00445103857566766,0.012715033657442,0.0496124031007752,,,"2018-09","2018-Q3",135400,0,"2018-09"
2018-09-30,95923,"89448","NV","Gardnerville Ranchos","Douglas","Zephyr Cove",11526,841900,0.030603501040519,0.0942292695606966,0.215389057311968,,,"2018-09","2018-Q3",841900,0,"2018-09"
2018-09-30,99993,"98840","WA",,"Okanogan","Okanogan",11527,137700,0.0110132158590308,0.0245535714285714,0.0519480519480519,,,"2018-09","2018-Q3",137700,0,"2018-09"
2018-09-30,68408,"25015","WV","Charleston","Kanawha","Belle",11528,73400,0.00410396716826265,0.00547945205479452,-0.00810810810810811,,,"2016-05","2016-Q2",88400,-0.169683257918552,"2015-07"
2018-09-30,83599,"58318","ND",,"Bottineau","Bottineau",11529,179100,0.0228440890919475,0.0789156626506024,0.123588456712673,,,"2018-09","2018-Q3",179100,0,"2018-09"
2018-09-30,66961,"21663","MD","Easton","Talbot","Saint Michaels",11530,421400,0.00548795036984013,0.0110364683301344,0.0144439094848339,,,"2007-05","2007-Q2",509400,-0.172752257557911,"2004-12"
2018-09-30,81879,"54758","WI",,"Trempealeau","Osseo",11531,141200,0.0150970524802301,0.0451517394522576,0.0988326848249027,,,"2018-09","2018-Q3",141200,0,"2018-09"
2018-09-30,65109,"17560","PA","Lancaster","Lancaster","Providence",11532,220600,-0.00226142017186793,-0.003613369467028,0.0222428174235403,,,"2018-07","2018-Q3",221400,-0.003613369467028,"2018-03"
2018-09-30,71208,"30565","GA","Jefferson","Jackson","Nicholson",11533,162200,0.00745341614906832,0.0169278996865204,0.10792349726776,,,"2018-09","2018-Q3",162200,0,"2018-09"
2018-09-30,79761,"49449","MI",,"Oceana","Pentwater",11534,193900,0.0157150340492404,0.0435952637244349,0.0671436433681893,,,"2018-09","2018-Q3",193900,0,"2018-09"
