"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","12211","NY","Albany-Schenectady-Troy, NY",9947,60,26.9662921348315,99,10,8.78453038674033
"Zip","12209","NY","Albany-Schenectady-Troy, NY",10204,60,9.09090909090909,75,0.285714285714286,8.78453038674033
"Zip","12061","NY","Albany-Schenectady-Troy, NY",10264,60,18.75,84,7.14285714285714,8.78453038674033
"Zip","12803","NY","Albany-Schenectady-Troy, NY",10379,60,10.8108108108108,76,0.857142857142857,8.78453038674033
"Zip","12033","NY","Albany-Schenectady-Troy, NY",10618,60,17.3333333333333,103,9.14285714285714,8.78453038674033
"Zip","12018","NY","Albany-Schenectady-Troy, NY",10631,60,24.2424242424242,85,9.71428571428571,8.78453038674033
"Zip","12198","NY","Albany-Schenectady-Troy, NY",10644,60,5.88235294117647,80.5,1.14285714285714,8.78453038674033
"Zip","12009","NY","Albany-Schenectady-Troy, NY",10690,60,22.972972972973,84,8.57142857142857,8.78453038674033
"Zip","12077","NY","Albany-Schenectady-Troy, NY",10832,60,7.46268656716418,84,1.71428571428571,8.78453038674033
"Zip","12822","NY","Albany-Schenectady-Troy, NY",10876,60,12.6984126984127,103,5.71428571428571,8.78453038674033
"Zip","12090","NY","Albany-Schenectady-Troy, NY",10941,60,10,149,4.85714285714286,8.78453038674033
"Zip","12123","NY","Albany-Schenectady-Troy, NY",11013,60,14.2857142857143,89.5,4.28571428571429,8.78453038674033
"Zip","87114","NM","Albuquerque, NM",1783,59,23.2304900181488,67,6.4,7.87292817679558
"Zip","87111","NM","Albuquerque, NM",1815,59,21.832884097035,62.5,1.6,7.87292817679558
"Zip","87120","NM","Albuquerque, NM",1953,59,25.9962049335863,70,8.4,7.87292817679558
"Zip","87121","NM","Albuquerque, NM",2101,59,17.6470588235294,61,0.4,7.87292817679558
"Zip","87124","NM","Albuquerque, NM",2363,59,17.4825174825175,64,1,7.87292817679558
"Zip","87109","NM","Albuquerque, NM",2857,59,28.7878787878788,57.5,5.4,7.87292817679558
"Zip","87112","NM","Albuquerque, NM",2911,59,27.6679841897233,62.5,7.2,7.87292817679558
"Zip","87105","NM","Albuquerque, NM",3054,59,16.7464114832536,79,3,7.87292817679558
"Zip","87123","NM","Albuquerque, NM",3188,59,23.8683127572016,63,3.8,7.87292817679558
"Zip","87110","NM","Albuquerque, NM",3209,59,22.5352112676056,62.5,2.2,7.87292817679558
"Zip","87108","NM","Albuquerque, NM",3246,59,24.390243902439,85,9.8,7.87292817679558
"Zip","87031","NM","Albuquerque, NM",3915,59,18.9801699716714,76,5.4,7.87292817679558
"Zip","87144","NM","Albuquerque, NM",4291,59,17.2727272727273,65,1,7.87292817679558
"Zip","87107","NM","Albuquerque, NM",5193,59,18.1286549707602,73.5,3,7.87292817679558
"Zip","87106","NM","Albuquerque, NM",5499,59,27.8688524590164,72,9.2,7.87292817679558
"Zip","87102","NM","Albuquerque, NM",6756,59,20.6106870229008,88.5,8.8,7.87292817679558
"Zip","87002","NM","Albuquerque, NM",7783,59,9.89583333333333,96,5.4,7.87292817679558
