"RegionName","City","State","Metro","CountyName","SizeRank","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"02128","Boston","MA","Boston-Cambridge-Newton","Suffolk",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3250,3150,3300,3275,3200,3000,2975,2600,2650,2800,3162.5,3500,3650,3700,4000,3900,3825,3450,3450
"02446","Brookline","MA","Boston-Cambridge-Newton","Norfolk",12,,,4100,4100,4000,4200,4100,4000,3450,3450,3700,3795,3800,3800,4000,4000,3800,4000,3950,3950,3950,3750,3700,3700,3900,4500,4549.5,4549.5,4500,4500,4500,4500,4500,4500,4300,4000,4000,4000,4200,4300,4200,4200,4000,4000,4000,4072.5,3950,4200,4297.5,4800,5000,4800,4375,4600,4600,4447.5,4800,4800,4500,4297.5,4700,4750,4795,4600,4600,4600,4500,5100,4900,5300,4600,5300,5500,5500,5500,6250,6250,6000,5750,5550,5500,5500
"02125","Boston","MA","Boston-Cambridge-Newton","Suffolk",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,3000,3000,3100,3100,3100,3000,3000,3000,2800,2795,2800,2800,3062.5,3175,3100,3100,3100,3100,2950,2700
"02143","Somerville","MA","Boston-Cambridge-Newton","Middlesex",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225,3800,4212.5,4275,4300,4000,3650,3775,3800,3800,4450,4000,4300,3800,4000,3800,3785,3692.5,3050,3175,3200,3200,3600,3900,4200,4350,4200,4200,4200,4000
"02145","Somerville","MA","Boston-Cambridge-Newton","Middlesex",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,3000,3000,3200,3400,3287.5,3200,3000,2800,2650,2650,2625,2700,2700,2875,3100,3250,3500,3700,3900,3800
"02144","Somerville","MA","Boston-Cambridge-Newton","Middlesex",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,4500,4550,4400,4200,3800,3850,3975,4100,3970,3850,4400,4600,4600,4500,4500,4499.5,4200,4375
"02134","Boston","MA","Boston-Cambridge-Newton","Suffolk",17,3800,3999,3800,3900,4000,4000,3900,3900,3900,3900,3900,3900,4000,4000,4000,4000,3900,3975,3975,3975,3900,3975,3975,3800,3975,4025,4000,4100,4150,4000,4000,3900,3850,3800,4000,4000,4050,4200,4200,4100,4000,3985,3900,3875,3900,3900,3900,4075,4300,4400,4500,4500,4400,4400,4500,4245,4200,4350,4100,4000,4200,4500,4500,4500,4500,4500,4500,4400,4400,4400,4250,4500,4650,4800,4800,4800,4750,4600,4500,4500,4500,4400
"90210","Beverly Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,25000,27000,27000,27000,28500,27500,28500,28500,30975,30975,35000,35000,36000,35000,33000,36000,36000,36750,35000,35000
"02445","Brookline","MA","Boston-Cambridge-Newton","Norfolk",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850,3900,3900,4150,4200,3900,3950,3775,3800,4225,4400,4500,5000,5000,4800,4450,4250,4250,4250
"02467","Brookline","MA","Boston-Cambridge-Newton","Norfolk",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,6000,5700,4800,4600,4800,4500,4500,4500,4675,4875,5000
"02120","Boston","MA","Boston-Cambridge-Newton","Suffolk",21,,4287.5,4150,4225,4600,4500,4500,4500,4500,4500,4600,4600,4700,4700,4600,4575,4800,4700,4700,4800,4700,4800,4800,5000,4800,4800,4800,4800,5000,4825,4800,4550,4600,4700,4750,4850,5000,4800,4800,4800,4800,4700,4575,4500,4500,4500,4550,4550,5000,5000,5000,5000,4973.5,4800,4800,4650,4687.5,4700,4400,4600,5100,5200,5100,5100,5000,5000,4950,4900,4800,4800,4900,5100,5300,5300,5300,5250,5100,5000,5000,5000,4999,4850
