"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"44112","OH","Cleveland-Elyria","Cuyahoga","East Cleveland",4761,868,-0.0034443168771527,-0.0091324200913242,-0.0247191011235955,5252
2018-09-30,"80130","CO","Denver-Aurora-Lakewood","Douglas","Highlands Ranch",4762,2410,0,-0.000414765657403567,-0.0028961522548614,8824
2018-09-30,"40422","KY","Danville","Boyle","Danville",4763,1137,-0.000878734622144112,-0.00263157894736842,0.026173285198556,4805
2018-09-30,"77355","TX","Houston-The Woodlands-Sugar Land","Montgomery","Stagecoach",4764,1885,0.00533333333333333,0.0183684494867639,0.0698070374574347,6564
2018-09-30,"85381","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Peoria",4765,1425,-0.000701262272089762,-0.00419287211740042,0.00849256900212314,8010
2018-09-30,"75160","TX","Dallas-Fort Worth-Arlington","Kaufman","Terrell",4766,1280,0.00156494522691706,0.00708103855232101,0.0720268006700168,6383
2018-09-30,"07724","NJ","New York-Newark-Jersey City","Monmouth","Tinton Falls",4767,2431,0.000411522633744856,0.00620860927152318,0.00620860927152318,6309
2018-09-30,"71202","LA","Monroe","Ouachita","Monroe",4768,590,-0.00169204737732657,-0.00337837837837838,-0.0766823161189358,7921
2018-09-30,"17036","PA","Harrisburg-Carlisle","Dauphin","Hummelstown",4769,1498,0,0.00133689839572192,-0.0415866922584773,7610
2018-09-30,"63104","MO","St. Louis","Saint Louis City","Saint Louis",4770,1338,0.00074794315632012,0.00149700598802395,-0.043602573266619,4598
2018-09-30,"78410","TX","Corpus Christi","Nueces","Corpus Christi",4771,1395,-0.000716332378223496,-0.00357142857142857,-0.00285918513223731,7322
2018-09-30,"75460","TX","Paris","Lamar","Paris",4772,1025,0.00195503421309873,0.0009765625,-0.0106177606177606,7324
2018-09-30,"45805","OH","Lima","Allen","Lima",4773,901,0,0,-0.0815494393476045,7492
2018-09-30,"30577","GA","Toccoa","Stephens","Toccoa",4774,1000,0,0.001001001001001,-0.0224828934506354,5808
2018-09-30,"22032","VA","Washington-Arlington-Alexandria","Fairfax","Fairfax",4775,2599,0,0,-0.0384757676655568,9749
2018-09-30,"27577","NC","Raleigh","Johnston","Smithfield",4776,1049,0,0,-0.0472297910990009,6521
2018-09-30,"77098","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",4777,3160,0.00381194409148666,0.010230179028133,-0.00628930817610063,2900
2018-09-30,"77058","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",4778,1513,-0.00525969756738988,-0.0143322475570033,-0.018170019467878,4183
2018-09-30,"77062","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",4779,1754,0,-0.00113895216400911,0.01036866359447,8507
2018-09-30,"32327","FL","Tallahassee","Wakulla","Crawfordville",4780,1099,-0.00272232304900181,-0.00812274368231047,-0.0574614065180103,6236
