"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"11232","New York","NY","New York-Newark-Jersey City","Kings County",462,,,,,,,,,,,,,,,,,,,,,1650,1650,1700,1850,1800,1800,1850,1775,1650,1650,1799.5,1825,1950,1875,1850,1875,1900,1850,1840,1800,1800,1800,1800,1900,1900,1975,1975,1900,1995,1975,1975,2000,2300,2147.5,2050,1950,1900,1925,2000,2000,2100,2150,2195,2100,2100,2100,2195,2197.5,2125,2100,2212.5,2000,2000,2100,1975,2000,2000,2100,2125,2250,2200,2200,2199.5,2200,2400,2250,2197.5,2200,2200,2200,2225,2450,2500,2500,2600,2300,2000
"33316","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712.5,1897.5,1897.5,1675,1550,1550,1550,1550,1400,1375,1375,1572.5,1600,1700,1720,1971,1812.5,1825,1971,1675
"10805","New Rochelle","NY","New York-Newark-Jersey City","Westchester County",464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1825,1843,1850,1799.5,1725,1872.5,1787.5,1795,1750,1795,1799.5,1795,1800,1800,1825,1850,1850,1850,1900,1737.5,1825,1887.5
"07020","Edgewater","NJ","New York-Newark-Jersey City","Bergen County",465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2575,2609.5,2639.5,2549,2650,2605,2700,2800,2800,2800,2675,2600,2500,2505,2557.5,2560,2550,2675,2805,2850
"02141","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2527.5,2500,2700,2730,2840,2700,2700,2700,2600,2500,2450,2500,2525,2550,2652.5,2750,2828.5,2800,2975,3000,2700,2800,2966
"06515","New Haven","CT","New Haven-Milford","New Haven County",467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1297.5,1297.5,1200,1200,1175,1100,1100,1087.5,1100,1137.5,1100,1175,1200,1200,1222.5,1245,1200,1200,1200
"02467","Brookline","MA","Boston-Cambridge-Newton","Norfolk County",468,,,,,,,,,,,,,1850,1850,1885,1850,1955,1850,1950,1860,1885,1885,1920,1950,1980,1987.5,1920,1955,2047.5,2080,2100,2065,2007.5,2020,2095,2105,2105,2080,2097.5,2150,2145,2160,2200,2240,2200,2270,2300,2250,2245,2250,2275,2265,2220,2265,2300,2300,2305,2300,2320,2355,2315,2372.5,2357.5,2380,2335,2340,2340,2345,2337.5,2335,2535,2420,2430,2510,2410,2520,2530,2700,2510,2700,2710,2530,2600,2625,2592.5,2695,2700,2735,2745,2700,2720,2470,2470,2670,2700,2720,2755
"17401","York","PA","York-Hanover","York County",469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,662.5,695,695,675,695,695,650,675,725,695,695,695,725,720,725,695,675,712.5,695,725
"02459","Newton","MA","Boston-Cambridge-Newton","Middlesex County",470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2697.5,2650,2595,2597.5,2595,2600,2300,2300,2275,2600,2600,2800,2595,2597.5,2700,2500,2500,2500,2500
"07650","Palisades Park","NJ","New York-Newark-Jersey City","Bergen County",471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2600,2600,2600,2600,2600,2650,2612.5,2775,2450,2350,2550,2600,2625,2650,2925,2800,2600,2295,2297.5,2387.5,2325
