"RegionID","RegionName","City","County","State","Metro","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
61639,"10025","New York","New York County","NY","New York-Newark-Jersey City",1,4.00296515937731,3.70370370370371,3.97166585246702,3.37115078350471,3.26340326340326,4.89559541834544,3.87853572563636,3.86100386100386,4.30610920552517,4.14878397711016,3.76946956404373,5.19756962851201,4.3010752688172,3.70370370370371,4.54545454545454,4.86409155937053,5.01002004008017,4.83338104780991,4.29292929292929,3.39892665474061,4.77326968973747,3.56854838709677,3.95078626868457,1.96924231057765,4.24374319912949,3.78681626928471,3.99844573846311,6.26194852941176,4.67649396632704,4.06378474736783,3.63636363636364,5.78947368421052,4.04998525285342,4.2112644866022,5.24369867758828,9.21985815602837,4.08,4.54545454545454,3.67671691792295,6.01503759398496,4.54545454545454,4.69428332442031,4.33179723502304,6.47058823529412,4.00307692307692,3.70822102425876,4.55729702305045,7.9155672823219,4.58041958041958,5.41820094687007,3.82377344877345,3.28309059678024,5.58659217877095,3.82081686429513,4.44692978409044,3.41085271317829,3.93684210526316,3.79310344827586,4.03846153846153,2.38663484486874,5.55555555555556,5.52978295541224,5.40540540540541,4.63520376563855,3.12093628088427,3.87261820748059,4.00148257968866,3.64839101784915,4.08533533533533,4.32801822323462,4.44664031620553,5.46622461665977,4.80961923847696,5.09038051925623,4.53731343283582,3.58195565808023,5.0125313283208,2.90726817042607,3.26797385620915,3.85356454720617,3.59603789836348,3.92740850561458,4,5.78838642769326,5.26315789473685,4.4,3.66390876565295,4.28571428571428,2.47655760023251,4.20333889816361,5.01119570085087,3.80761523046093,3.54748941318814,3.17639145787792,3.77849510797488,3.33889816360601,3.47490347490348,4.52154510609625
84654,"60657","Chicago","Cook County","IL","Chicago-Naperville-Elgin",2,4,3.50670746057896,3.46867167919799,4.22507273370567,4.36507936507936,3.51493848857645,3.50877192982456,3.26086956521739,3.53383458646617,4.02564971751412,3.57340903773003,3.72593148287071,3.78665280351498,3.72869770728825,4.11416941267688,5.00863557858376,4.22654268808115,3.69306860179501,3.29268292682927,3.84968242766408,4.13698630136986,3.584229390681,3.63636363636364,3.85185185185185,3.11286478903248,3.94986072423398,3.66640055694882,2.83515593357635,4.91803278688525,4.03621355193185,2.78516272345827,3.24347053737677,4.11071526445601,3.89599921798766,3.75649683813102,3.34448160535117,3.33333333333333,2.95147573786894,2.85795941697627,4.77326968973747,3.02929747194691,2.5974025974026,2.89607939059334,3.33667148927216,3.23624595469255,2.85755107872553,3.02921063555526,3.38670836820698,2.949295365393,2.67022696929239,2.54400521543294,2.5,2.72366656404703,3.29879101899827,2.65259454705365,3.05555555555556,2.68765497713487,3.12548835755587,2.9230356663985,2.87526070022368,3.44930121914957,3.13275613275613,2.97805642633229,3.20427236315087,2.78293135435993,3.13131313131313,3.00375469336671,3.3537880825574,2.74047684297067,2.48939892677835,2.5974025974026,2.86123032904149,3.04761904761904,3.20427236315087,2.32828870779976,2.54002359345862,2.69145895886843,2.62461140436896,2.89089872909836,2.88288288288289,3.12152004454343,2.53333333333333,3.10189910102399,2.49113695237048,2.88404944084756,2.78357824431178,2.32738557020946,2.128245643625,3.44530280038626,3.15151515151515,2.38095238095238,2.60304912478825,2.89855072463768,2.92275574112735,2.66963292547274,2.94204177699323,2.81453060214122,2.65486725663717
61637,"10023","New York","New York County","NY","New York-Newark-Jersey City",3,5.18134715025906,5.5588536684048,4.18526315789474,5.59743954480796,4.92063492063493,5.11445873569429,3.65853658536586,4.25360321026657,4.89100334301573,4.80769230769231,3.43936058622779,4.48264478400302,4.81927710843374,3.37948625652419,4.41176470588235,3.15151515151515,3.18029091751719,4.31654676258992,3.84615384615384,4.14150437734501,4.25531914893616,3.23058431438034,4.76190476190477,4.76947535771065,4.14789323484976,4.00803212851406,4.62695199537305,6.0727980465357,5.44088230944653,5.0125313283208,4.07999999999999,4.65116279069767,3.98298298298299,5.07936507936508,3.94396551724138,4.88095238095239,4.00667779632721,4.52836637047163,5.17838348690852,4.24699503211635,5.27873929677536,4.23265278305147,5.30350877192983,5.06033050185456,5.70597408282189,4.76458661860779,4.13793103448276,4.10509031198686,5.95789219347186,5.20084068451112,4.16051788143605,5.58633938932935,6.03122210808171,5.55593761700632,4.4543429844098,5.93319394627152,4.32,5,4.4,4.87804878048781,4.56572090330052,5.25062656641604,4.78095238095239,4.63076384635576,5.40540540540541,4.2,4.6875,3.69014995489438,4.17522245037646,4.08768267223382,3.16806722689076,3.63636363636364,4.00801603206413,3.38846364133406,4.35729847494554,3.50877192982456,6.4748201438849,3.94698429380511,4.08333333333333,3.70707070707071,3.80761523046093,3.6979969183359,4.04880458760413,4.07407407407407,4.01880123207353,5.05807200929153,4.25531914893616,2.96866771985255,4.48309178743961,3.81282495667244,3.63636363636364,4.40087145969499,4.26666666666666,4.38778031258322,5.00000625000782,4.66321243523317,4.66671851909465,4.16
84616,"60614","Chicago","Cook County","IL","Chicago-Naperville-Elgin",5,3.6354542423232,3.42872208463537,3.33407423871972,3.75,3.56581625415497,3.02427913626884,3.70446390295445,3.06086074481959,3.03122158229766,3.13778990450204,3.36134453781513,3.61518377184173,3.72750642673522,3.85356454720617,3.76470588235294,3.74331550802139,3.36842105263158,3.71107170152931,3.584229390681,3.50877192982456,3.70507595405706,3.57142857142857,3.47222222222222,3.55001136902202,3.02942455428323,3.01759177966377,3.27231080739053,4.45613338626439,3.34928229665071,3.53356890459364,3.83949618791798,2.69326447508458,2.70306803153518,3.64298724954463,3.28273129276802,2.80561122244489,3.49003369463727,3.05869189584637,3.57142857142857,3.304849856574,3.70713942142514,2.93660765276985,2.67256637168142,3.07692307692308,2.82937982280652,3.05010893246187,3.04143702796489,3.10481350281309,3.03490136570561,3.33333333333333,3.22710770471965,3.30143381127043,2.85795941697627,3.48993288590604,2.66666666666666,3.47512391345774,2.98779493968814,2.92682926829269,2.86532951289399,2.78551532033426,2.86123032904149,3.1437125748503,2.86359649733402,2.57378962764038,2.13231273920175,2.75675675675676,2.73919156052135,2.63852242744064,2.96088629490604,3.33388907413582,3.0420873082029,2.81800951109373,2.85959487300888,2.48170827445439,3.22684737011939,2.38237130370623,2.83185840707965,2.94290759270159,2.94225834231287,2.37566962036111,2.88315629742033,2.82768777614139,2.30498084291187,2.82131661442007,2.3132906350927,2.36235473423509,2.42281722848228,2.01005025125628,2.48780487804878,2.61482818503781,2.5,2.5062656641604,2.65533722782794,2.63157894736842,2.89256198347108,2.5612012987013,2.97874773222752,2.77970813064629
84640,"60640","Chicago","Cook County","IL","Chicago-Naperville-Elgin",10,3.97379912663756,4.62897526501767,4.48511665325824,4.10986301369863,4.85714285714286,4.19033405030508,3.99388623072834,4.77914965986395,3.96428571428571,4.01606425702812,4.98823133826496,5.005005005005,4.80400129073895,4.87946863620045,4.9603836530442,4.99916457811195,5.0251256281407,5.0251256281407,4.08163265306123,3.79208340287107,4.54545454545454,3.75939849624061,4.66165413533835,3.8595363796076,4.22197566181418,4.04884845504467,6.25,3.84615384615384,4.21099290780141,3.57398141529665,3.83456319785235,3.56584960531782,3.33518621456365,3.72593148287071,3.88461538461539,3.46020761245674,3.34510325620718,3.85852249605463,3.63636363636364,6.6711140760507,3.7921146953405,4.04246631278072,3.25806451612903,4,3.2368280133175,3.30110036678893,3.42372881355932,3.1945788964182,3.03963062716429,3.18335018537243,3.29749103942653,4.47761194029851,3.88548914410261,3.42857142857143,3.65461847389559,3.49865115470044,3.7943567439212,4.00963340953888,3.4494653328734,3.65096639970004,3.22684737011939,3.31482643750302,3.12695434646654,3.24675324675324,2.96657196846289,3.45730027548209,4.37397484964461,3.50877192982456,3.6979969183359,2.85714285714286,2.82627078068892,3.23624595469255,4,2.80555555555555,3.20523932364722,4.86989459815547,2.79799433189671,3.40747904577692,3.12805933234011,2.82394190231636,2.85266457680251,3.01690414221768,2.90943715615743,2.94117647058824,2.89103039288362,2.75123901376261,3.07057055995308,2.70028203404442,2.94913143114366,3.44778254649499,2.89392446633826,3.2258064516129,2.95857988165681,2.75600505689002,3.03797468354431,2.64209122432649,2.68421052631579,2.72281345565749
61630,"10016","New York","New York County","NY","New York-Newark-Jersey City",13,3.51724137931034,3.78071833648393,3.06122448979592,5.06970849176173,3.38709677419354,2.98953662182362,4.11522633744856,4.32528611285088,4.29765553476893,3.38709677419354,3.42341861130934,5.47368421052632,4.76758045292014,3.87487984359981,4.40693327291265,5.34818941504178,3.36342519269349,3.25954238997717,4.16,3.01003344481605,3.56009741969457,3.68421052631579,3.40277777777778,3.47222222222222,4.53403380539059,4.71662696522154,2.91248606465998,5.0103519668737,4.08163265306123,3.67484705527552,4.98363486860941,4.26666666666666,4.1095890410959,4.76190476190477,4.31011966374198,5.06329113924051,5.13784461152882,3.02608389918034,3.63636363636364,3.99624070102984,3.125,5.39088104877579,4.04624277456648,2.7536149487369,3.52422907488987,3.84732598838229,3.51703572809101,2.82003710575139,3.42857142857143,4.0174672489083,3.75,3.31753339646592,3.49996783332261,3.15151515151515,3.28986534372785,4.95238095238095,4.54545454545454,2.97297297297298,3.49337397608511,2.79424653296902,3.84615384615384,5.57275541795666,3.05555555555556,3.61294899451289,3.48275862068965,3.29749103942653,4.08997955010225,4.17808219178082,4.00667779632721,2.79635258358663,4.14953834233691,4.56521739130434,3.12695434646654,3.49431093223002,3.98156599552573,4.6199691849756,3.38983050847458,3.33555703802535,3.47490347490348,3.59947361608491,3.54880194937052,3.84615384615384,3.01987192977182,3.52311860383673,3.54540023894863,3.05555555555556,3.22006472491909,2.66963292547274,3.33333333333333,3.44841379310344,3.69142351900972,3.584229390681,4.03371599023773,2.67379679144385,3.5483870967742,3.34912834912835,3.46227760213254,4.08653846153846
62087,"11375","New York","Queens County","NY","New York-Newark-Jersey City",16,4.24761475471415,4.80769230769231,4.40586519605403,4.55580865603644,5.5045871559633,5.5045871559633,7.11724630670189,6.19035179380007,5.6892723558399,6.26959247648903,6.94444444444444,6.98324022346368,6.40141924307036,5.04060614309696,4.87312572087659,5.12553151989289,4.36681222707423,4.88997555012225,3.89976958525345,3.24324324324324,3.73030583873957,4.1095890410959,4.18410041841004,4.26694778020378,3.77358490566038,3.71559633027523,4.15224913494809,3.46153846153846,4.24753085491799,4.5662100456621,3.70370370370371,4.27927927927928,3.65296803652968,4.11390804403905,3.3947823224426,3.22823994589251,3.31081081081081,4.78496884119207,3.15469970642385,3.70524069243539,3.10551558752998,5.25835671195702,4.04040404040404,3.49728629579376,4.36681222707423,2.45288344075151,3.15151515151515,4.18410041841004,3.86100386100386,4.18410041841004,4.2758358662614,3.19796259269304,3.8663887234465,2.94985250737463,4.78468899521531,4.4543429844098,3.87948602441169,3.34448160535117,1.82149362477231,3.31964809384164,3.26876112667905,3.93050993053393,4.2016806722689,2.50620732464308,4.73478503629257,5.50000000000001,4.70588235294118,3.6697247706422,3.6194239322883,3.17965023847376,6.82891285339551,4.03225806451613,4.45613338626439,4.0268456375839,3.86100386100386,3.62604540023895,6.10902255639098,4.56699029126214,3.03490136570561,3.03030303030303,4.51770451770452,4.16575576759857,2.49522116025784,3.59531772575251,3.75039882194134,3.71859296482412,3.34448160535117,2.27272727272727,3.46020761245674,2.798022953841,2.47524752475248,2.61868037703513,3.73732486745041,3.17029060537033,4.09038851325965,4.35731915701538,4.42890442890443,2.8422989445708
62045,"11235","New York","Kings County","NY","New York-Newark-Jersey City",17,3.64583333333334,8.09717912400394,5.18518518518518,3.55029585798816,8.34724540901503,4.9665505441317,3.24324324324324,2.98507462686567,4.00534045393859,4.07999999999999,5,5.40540540540541,4.78468899521531,5.18084066471163,4.5662100456621,4.38286852589641,5.72246065808297,4.17538354253835,4.0625,6.56565656565656,3.79966591098914,3.04469419767089,3.47347347347348,4.17536534446764,4.4978279076213,4.15584415584416,8.90131002522934,4.62689761660883,4.57398574177424,3.35995516323385,4.81236601873931,3.5799522673031,3.86100386100386,3.50877192982456,5.72811041583071,3.74923127012264,4.77279738034786,2.74133333333333,2.7027027027027,3.13173022386815,4.16666666666666,3.29249577318247,3.70370370370371,3.414070036378,2.44498777506112,3.3955857385399,4.18410041841004,4.07096751924338,3.24324324324324,5.35714285714286,3.0605888882124,2.44702524472329,2.50696378830083,3.10077519379846,3.2,4.52830188679245,3.67581064752673,4.18410041841004,3.4257771568285,4.05813341871155,4.5959595959596,2.77737630678807,3.23101777059773,2.67740011926059,1.75500175500175,2.98310711844547,3.2258272634017,3.3041788143829,3.29032258064517,3.81294964028777,2.79329608938548,2.54237288135594,2.75049115913556,2.87792447010661,2.98953662182362,4.34782608695652,3.59711021505377,2.77766975296639,1.92678227360308,2.50312891113892,2.56739409499358,3.06633291614519,3.49799196787148,2.31362467866324,1.64381712654981,3.08166409861325,2.84860132393765,1.64203612479474,2.5,4.01195539717208,1.92644612689252,2.06342552814023,2.62988485882785,2.75445694778101,3.09342132398432,2.28837745136543,2.03361168200362,3.76716865764593
84646,"60647","Chicago","Cook County","IL","Chicago-Naperville-Elgin",20,3.72593148287071,3.70370370370371,3.43898289909571,4.77431973555582,5.26592943654555,4.17311004784689,5.65552699228792,4.18410041841004,3.51726363343013,3.678536367693,3.86100386100386,5.20960520960521,3.55294711599142,3.72960372960373,4.16666666666666,4.1095890410959,4.18410041841004,4.44057388593642,4.28544081554518,3.75335120643432,4.30157261794634,3.46020761245674,3.41685649202733,5.06472772039164,5.1741979993101,3.97580501885056,6.02848292231564,5.13685445192294,4.54614345945052,5.98638585357115,5.70408979551023,4.22275569781571,2.46774519675583,3.52942006922369,3.23624595469255,3.33444481493831,2.82173736865527,2.77932184546971,2.84177002742642,4.86303067719953,3.31796913960515,3.72272143774069,2.98507462686567,4,3.50204918032787,3.4487515519382,3.80277617119722,4.000800160032,3.18676313241962,3.18098562055005,3.84615384615384,5.29100529100529,3.90617996513409,3.50625753291743,2.96746356712015,3.4489894460923,3.39075977785655,3.40234460890396,4.06183368869936,3.40909090909091,3.7507765381026,3.64884706855547,3.16169605096941,2.77854959711031,2.33932461873638,3.53136684669713,3.63636363636364,2.28493225440624,3.1578947368421,3.17965023847376,2.83776348530755,2.76346425436085,2.98251914644501,3.40986587860878,2.81081081081082,1.90981432360743,2.90006603565925,3.78197997775306,2.60914941728997,3.80069103473358,2.91020834301994,2.44556776556777,2.66963292547274,2.50062515628907,3.15855969677827,2.94985250737463,3.7744153947619,2.34341266758692,2.80561122244489,2.87769784172662,2.66666666666666,2.90085316283347,2.29885057471264,2.22469410456062,2.54914374697571,2.29858553677406,2.5974025974026,2.50062515628907
84620,"60618","Chicago","Cook County","IL","Chicago-Naperville-Elgin",23,3.84769539078156,3.73867000055156,3.87367757686961,3.61881785283474,4.96832277425808,4.16138141081071,5.2645436656412,4.97744110150313,4.23076923076923,4.99306354377497,5.26315789473685,4.9049049049049,4.98965279374569,4.76190476190477,6.06999327637182,5.55984555984556,5.79742827832608,3.70644922164566,4.18410041841004,3.82765560718619,4.42785055798156,4.58095691610841,6.03143880940549,3.75,4.48029213310873,4.50204638472033,5.40613606307037,3.84911470361817,4.65332712889717,4.25622472866567,3.04706501773224,3.07859922503442,3.00813449514554,3.584229390681,3.85185185185185,3.67545222756966,3.84763370527126,4.18083616723345,4.55308648026074,5.52931369824952,6.59247311827957,4.51791044776119,3.50949612737403,3.44419094419094,3.68634266008856,2.85714285714286,2.56587468826725,3.40731478587059,3.82081686429513,4.06052517957374,3.44827586206896,4.61538461538461,3.97727272727273,4.0016006402561,3.33333333333333,2.53164556962026,2.91065323288251,2.50125062531266,3.27868852459017,2.50041673612269,2.95949027498323,2.71739130434783,3.03030303030303,3.22006472491909,3.50372890507322,2.40338576747245,4.06164965291956,3.74901438731226,3.45065562456867,2.49366300706722,2.63852242744064,2.94290759270159,2.35622500128945,3.1227416117006,2.99224874829089,3.31345261762757,1.12262521588946,3.0307680734221,3.08689024390244,2.5062656641604,2.77777777777778,2.67471886447584,3.36524492456696,2.91664404509835,2.90750084249721,2.57664002689784,2.125,1.99934666231109,2.42166244488226,2.85500747384155,2.74987637824106,2.55146354842579,2.58030542390731,2.51891799558316,2.56696794224897,2.85767018467861,2.50125062531266,2.71966527196653
