"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-10-31,"77433","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",42,1793,-0.000557413600891862,0.00111669458403127,0.0358174465626805,24955
2018-10-31,"10456","NY","New York-Newark-Jersey City","Bronx County","New York",43,1920,0.00418410041841004,0.00313479623824451,0.023454157782516,3302
2018-10-31,"73099","OK","Oklahoma City","Canadian County","Yukon",44,1241,0.000806451612903226,0.000806451612903226,0.0040453074433657,25756
2018-10-31,"10003","NY","New York-Newark-Jersey City","New York County","New York",45,3926,0.00383533623114293,0.00229767679346439,-0.0667934395055859,20669
2018-10-31,"77429","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",46,1755,0.00228440890919475,0.000570125427594071,0.0103626943005181,25894
2018-10-31,"77479","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Sugar Land",47,2291,0.000436681222707424,-0.0013077593722755,-0.00822510822510823,26606
2018-10-31,"11206","NY","New York-Newark-Jersey City","Kings County","New York",48,2485,0.00242033077853973,-0.00240867121637896,-0.0671921921921922,8597
2018-10-31,"63376","MO","St. Louis","Saint Charles County","Saint Peters",49,1481,0.002708192281652,0.00679809653297077,0.029186935371786,27607
2018-10-31,"60613","IL","Chicago-Naperville-Elgin","Cook County","Chicago",50,1644,0.00121802679658952,0.00121802679658952,-0.0283687943262411,25424
2018-10-31,"30044","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Lawrenceville",51,1392,0.00143884892086331,0.00143884892086331,0.0349442379182156,23914
2018-10-31,"77036","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",52,1299,0.00231481481481481,0.00308880308880309,0.0108949416342412,10564
2018-10-31,"11230","NY","New York-Newark-Jersey City","Kings County","New York",53,2166,0.00046189376443418,-0.00596603946764571,-0.0557977332170881,11784
2018-10-31,"10463","NY","New York-Newark-Jersey City","Bronx County","New York",54,1902,0.00210748155953635,-0.0015748031496063,-0.04995004995005,7488
2018-10-31,"30043","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Lawrenceville",55,1502,0.00267022696929239,0.00334001336005344,0.0073775989268947,24460
2018-10-31,"60629","IL","Chicago-Naperville-Elgin","Cook County","Chicago",56,1442,0.00138888888888889,0.00138888888888889,-0.00138504155124654,20840
2018-10-31,"11212","NY","New York-Newark-Jersey City","Kings County","New York",57,2183,0.000917010545621275,0.000917010545621275,-0.024139472507823,5959
2018-10-31,"11209","NY","New York-Newark-Jersey City","Kings County","New York",58,2202,0.00273224043715847,0.000454338936846888,-0.0565552699228792,15498
2018-10-31,"60625","IL","Chicago-Naperville-Elgin","Cook County","Chicago",59,1613,0.00248601615910503,0.000620347394540943,-0.0206435944140862,16819
2018-10-31,"07030","NJ","New York-Newark-Jersey City","Hudson County","Hoboken",60,2724,-0.000733675715333822,-0.0021978021978022,-0.0398308071906944,22302
2018-10-31,"28277","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",61,1837,0.00108991825613079,0.00108991825613079,-0.0160685591858597,23885
2018-10-31,"75287","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",62,1973,0,-0.00403836446239273,-0.0125125125125125,6766
2018-10-31,"10024","NY","New York-Newark-Jersey City","New York County","New York",63,3836,0.00735294117647059,0.00788229111928534,-0.0814176245210728,19284
2018-10-31,"85032","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",64,1384,0.00362581580855693,0.000723065798987708,0.000723065798987708,21569
2018-10-31,"78704","TX","Austin-Round Rock","Travis County","Austin",65,2034,0.000984251968503937,-0.00294117647058824,-0.0771324863883848,14057
2018-10-31,"33160","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Sunny Isles Beach",66,2163,0.000462534690101758,-0.00230627306273063,-0.00779816513761468,47681
2018-10-31,"77077","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",67,2040,0,-0.00293255131964809,0.0194902548725637,12495
2018-10-31,"78245","TX","San Antonio-New Braunfels","Bexar County","San Antonio",68,1287,0.00155642023346304,0.000777604976671851,-0.00464037122969838,20552
2018-10-31,"21234","MD","Baltimore-Columbia-Towson","Baltimore County","Parkville",69,1640,0,0.00061012812690665,-0.000609384521633151,21952
2018-10-31,"23464","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",70,1547,0.00194300518134715,0.00129449838187702,-0.00257898130238556,24717
2018-10-31,"30096","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Duluth",71,1451,0.00345781466113416,0.0041522491349481,0.00763888888888889,15440
2018-10-31,"78521","TX","Brownsville-Harlingen","Cameron County","Brownsville",72,851,0.00235571260306243,0.00235571260306243,-0.0427446569178853,21381
2018-10-31,"75243","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",73,1491,0.00201612903225806,0.00134318334452653,-0.00267558528428094,11294
2018-10-31,"11214","NY","New York-Newark-Jersey City","Kings County","New York",74,2104,0.0014278914802475,-0.0028436018957346,-0.0607142857142857,12009
2018-10-31,"98052","WA","Seattle-Tacoma-Bellevue","King County","Redmond",75,2588,0.000773395204949729,0,-0.0516672773909857,19679
2018-10-31,"94501","CA","San Francisco-Oakland-Hayward","Alameda County","Alameda",76,3274,0.00152951973080453,-0.000305343511450382,-0.0218105766357932,15142
2018-10-31,"08701","NJ","New York-Newark-Jersey City","Ocean County","Lakewood",77,1844,0.001085776330076,-0.0037817396002161,-0.0380803338549817,21467
2018-10-31,"11221","NY","New York-Newark-Jersey City","Kings County","New York",78,2340,0.00429184549356223,0,-0.0714285714285714,13736
2018-10-31,"60610","IL","Chicago-Naperville-Elgin","Cook County","Chicago",79,1791,0.00561482313307131,0.00167785234899329,-0.0627943485086342,28342
2018-10-31,"11207","NY","New York-Newark-Jersey City","Kings County","New York",80,2198,0.00136674259681093,0.000455166135639508,-0.0287229341581971,12430
2018-10-31,"11229","NY","New York-Newark-Jersey City","Kings County","New York",81,2160,0.000463177396943029,-0.00598251265531523,-0.047198941332157,15464
2018-10-31,"77379","TX","Houston-The Woodlands-Sugar Land","Harris County","Tomball",82,1845,0,-0.00108283703302653,0.0290016731734523,25036
2018-10-31,"78666","TX","Austin-Round Rock","Hays County","San Marcos",83,1423,0.00211267605633803,0.00494350282485876,-0.0172651933701657,11752
2018-10-31,"10019","NY","New York-Newark-Jersey City","New York County","New York",84,3673,0.00355191256830601,0.0016362148895555,-0.063488016318205,20659
2018-10-31,"30024","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Suwanee",85,1873,0.00160427807486631,0.00106894708711919,-0.0214211076280042,22770
2018-10-31,"94110","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",86,4623,0.0010827197921178,-0.00473627556512379,-0.032440351611553,13459
2018-10-31,"60619","IL","Chicago-Naperville-Elgin","Cook County","Chicago",87,1356,0.00444444444444444,0.00444444444444444,0.00518902891030393,16391
2018-10-31,"33139","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Miami Beach",88,2005,0.0025,0.00199900049975012,-0.0252795333009237,33098
2018-10-31,"33411","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Royal Palm Beach",89,1937,0.0015511892450879,0.00206932229694775,0.00937988535695675,30491
2018-10-31,"90034","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",90,3398,0.000883652430044183,-0.00788321167883212,-0.0373937677053824,8210
2018-10-31,"44107","OH","Cleveland-Elyria","Cuyahoga County","Lakewood",91,1217,0.00495458298926507,0.010797342192691,-0.0325914149443561,15230
2018-10-31,"78745","TX","Austin-Round Rock","Travis County","Austin",92,1639,0.00183374083129584,0.00183374083129584,-0.0126506024096386,17310
2018-10-31,"75067","TX","Dallas-Fort Worth-Arlington","Denton County","Lewisville",93,1652,0.00181928441479685,0.00181928441479685,-0.00120918984280532,12128
2018-10-31,"33025","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Miramar",94,1670,0.00240096038415366,0.00602409638554217,0.0133495145631068,25052
2018-10-31,"11377","NY","New York-Newark-Jersey City","Queens County","New York",95,2203,0.000908677873693776,0.00136363636363636,-0.0337719298245614,11766
2018-10-31,"48197","MI","Ann Arbor","Washtenaw County","Ypsilanti",96,1753,0.000570776255707763,0.0028604118993135,0.141276041666667,16821
2018-10-31,"02169","MA","Boston-Cambridge-Newton","Norfolk County","Quincy",97,2311,0.00173385348938015,0.00260303687635575,0.00478260869565217,14937
2018-10-31,"66062","KS","Kansas City","Johnson County","Olathe",98,1754,0.0028587764436821,0.0028587764436821,0.0068886337543054,23670
2018-10-31,"23462","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",99,1316,0.0015220700152207,0.00228484386900229,0.0115295926210607,21944
2018-10-31,"90044","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",100,2373,0.00593471810089021,0.0158390410958904,0.00935772011909826,13556
2018-10-31,"44035","OH","Cleveland-Elyria","Lorain County","Elyria",101,844,0.00356718192627824,0.00476190476190476,0.00118623962040332,21011
2018-10-31,"95630","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Folsom",102,2239,0.00223813786929275,0.00448631673396142,0.00268696820420958,22060
2018-10-31,"90805","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",103,2272,0.00442086648983201,0.00664599025254763,-0.00131868131868132,15492
2018-10-31,"90650","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Norwalk",104,2341,0.00214041095890411,0.00299914310197087,0.000427350427350427,22058
2018-10-31,"11234","NY","New York-Newark-Jersey City","Kings County","New York",105,2179,0.00137867647058824,-0.00137488542621448,-0.0306939501779359,21215
2018-10-31,"92683","CA","Los Angeles-Long Beach-Anaheim","Orange County","Westminster",106,2842,0.00282286520818631,0.00353107344632768,0.000704225352112676,18098
2018-10-31,"85710","AZ","Tucson","Pima County","Tucson",107,1144,0.00262927256792287,0.00350877192982456,0.00615655233069481,17105
2018-10-31,"28027","NC","Charlotte-Concord-Gastonia","Cabarrus County","Concord",108,1387,0.00144404332129964,0,-0.0184005661712668,21475
2018-10-31,"11355","NY","New York-Newark-Jersey City","Queens County","New York",109,2212,0.00271985494106981,0.00317460317460317,-0.0246913580246914,13892
2018-10-31,"19143","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",110,1129,0.000886524822695035,0.000886524822695035,0.0207956600361664,23038
2018-10-31,"60611","IL","Chicago-Naperville-Elgin","Cook County","Chicago",111,1848,0.00598802395209581,0.00325732899022801,-0.0787637088733799,30332
2018-10-31,"10314","NY","New York-Newark-Jersey City","Richmond County","New York",112,2126,0.000470588235294118,-0.00234631628343501,-0.0287802649611695,24931
2018-10-31,"37075","TN","Nashville-Davidson--Murfreesboro--Franklin","Sumner County","Hendersonville",113,1691,0.000591715976331361,0.00118413262285376,0.00774731823599523,22651
2018-10-31,"60617","IL","Chicago-Naperville-Elgin","Cook County","Chicago",114,1352,0.00371195248700817,0.00371195248700817,0.00745156482861401,20708
2018-10-31,"90026","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",115,2847,0.00175932441942294,0.00175932441942294,-0.0659448818897638,9662
2018-10-31,"30281","GA","Atlanta-Sandy Springs-Roswell","Henry County","Stockbridge",116,1273,0.001573564122738,0.000786163522012579,0.0451559934318555,20746
2018-10-31,"32210","FL","Jacksonville","Duval County","Jacksonville",117,1059,0.0047438330170778,0.00665399239543726,0.0291545189504373,19993
2018-10-31,"85225","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Chandler",118,1354,0.00445103857566766,0.00370644922164566,0.00669144981412639,20097
2018-10-31,"11215","NY","New York-Newark-Jersey City","Kings County","New York",119,2637,0.00228050171037628,-0.000379075056861259,-0.0668789808917197,19588
2018-10-31,"94558","CA","Napa","Napa County","Napa",120,2898,0.0027681660899654,0.0027681660899654,0.0693726937269373,16674
2018-10-31,"11211","NY","New York-Newark-Jersey City","Kings County","New York",121,2705,0.0014809329877823,-0.00294876520457059,-0.0965263861055444,12520
2018-10-31,"80134","CO","Denver-Aurora-Lakewood","Douglas County","Parker",122,2431,-0.000411184210526316,0.00247422680412371,0.0240101095197978,21379
2018-10-31,"91910","CA","San Diego-Carlsbad","San Diego County","Chula Vista",123,2436,0.00164473684210526,0.000821692686935086,0,16348
2018-10-31,"87114","NM","Albuquerque","Bernalillo County","Albuquerque",124,1289,0.00155400155400155,0.00155400155400155,0.00939702427564605,20745
2018-10-31,"06010","CT","Hartford-West Hartford-East Hartford","Hartford County","Bristol",125,1408,0,-0.00775193798449612,-0.0499325236167341,19875
2018-10-31,"78240","TX","San Antonio-New Braunfels","Bexar County","San Antonio",126,1340,0.00149476831091181,-0.000745712155108128,-0.0125276344878408,12119
2018-10-31,"17603","PA","Lancaster","Lancaster County","Lancaster",127,1154,0.00435161009573542,0.00435161009573542,0.00786026200873362,19093
2018-10-31,"85308","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Glendale",128,1443,0.00277970813064628,0.00208333333333333,-0.00345303867403315,21852
2018-10-31,"89108","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",129,1192,0.00168067226890756,0.00252312867956266,0.0311418685121107,19609
2018-10-31,"93722","CA","Fresno","Fresno County","Fresno",130,1352,0.0022238695329874,0.0029673590504451,0.0297029702970297,20328
2018-10-31,"85281","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Tempe",131,1321,0.00303720577069096,-0.0030188679245283,-0.0178438661710037,13165
2018-10-31,"87111","NM","Albuquerque","Bernalillo County","Albuquerque",132,1395,-0.000716332378223496,0.000717360114777619,0.0175054704595186,18848
2018-10-31,"48180","MI","Detroit-Warren-Dearborn","Wayne County","Taylor",133,980,0.00102145045965271,-0.0050761421319797,-0.019019019019019,21805
2018-10-31,"94533","CA","Vallejo-Fairfield","Solano County","Fairfield",134,1958,0.0041025641025641,0.00461775269368907,0.00720164609053498,18092
2018-10-31,"43081","OH","Columbus","Franklin County","Westerville",135,1524,0.0032916392363397,0.00395256916996047,0.00793650793650794,20728
2018-10-31,"43055","OH","Columbus","Licking County","Newark",136,959,-0.00518672199170124,0.00208986415882968,0.143027413587604,20737
2018-10-31,"15601","PA","Pittsburgh","Westmoreland County","Greensburg",137,980,0.00204498977505112,0.00102145045965271,0.037037037037037,19320
2018-10-31,"95608","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Carmichael",138,1835,0.00328048113723346,0.00492880613362541,0.0177481974486966,18370
2018-10-31,"44060","OH","Cleveland-Elyria","Lake County","Mentor",139,1291,0.000775193798449612,0.000775193798449612,-0.0256603773584906,24789
2018-10-31,"97229","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",140,2210,0.00408905043162199,0.00317748524738992,-0.0856433595366156,20715
2018-10-31,"11238","NY","New York-Newark-Jersey City","Kings County","New York",141,2624,0.00305810397553517,0.00190912562046583,-0.0704923839886645,12554
2018-10-31,"85364","AZ","Yuma","Yuma County","Yuma",142,878,0.00228310502283105,0.00228310502283105,0.00919540229885057,17689
2018-10-31,"11385","NY","New York-Newark-Jersey City","Queens County","New York",143,2209,0.0013599274705349,0.00272355878347708,-0.0273007485689124,14235
2018-10-31,"80013","CO","Denver-Aurora-Lakewood","Arapahoe County","Aurora",144,1931,0.00311688311688312,0.00572916666666667,0.0216931216931217,23726
