"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55076075942407,1.6,1.58695652173913,1.69230769230769,1.68135593220339,1.79166666666667,1.76317303267372,1.69665612057064,1.70102272727273,1.70731707317073,1.77634606534745,1.6975,1.76804357694054,1.78817303267372,1.86,1.8,1.85185185185185,1.93,1.93372673626872,1.78260869565217,1.78604118993135
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris",2,,,,,,,,,,,0.799031476997579,0.787853250873225,0.796927938129104,0.814203768444466,0.81453634085213,0.870891749023213,0.863060989643268,0.849248491393835,0.829012399400871,0.795640734151352,0.799824196236804,0.801068090787717,0.830234333133049,0.837983760324343,0.829056454796684,0.888236917050629,0.897097625329815,0.874906924795235,0.85808078375915,0.859306728808622,0.865998176845943,0.88200182490028,0.882240122746452,0.882809069416121,0.887311446317657,0.887796481614585,0.88137163370027,0.878243512974052,0.882240122746452,0.894854586129754,0.901399274730078,0.919842312746386,0.902602854743913,0.89748076036933,0.890150318517958,0.865185950413223,0.857441140424846,0.878647214854111,0.878284422475442,0.872405470524231,0.891136801541426,0.897908979089791,0.882894553055296,0.891224862888483,0.886192874275374,0.867052023121387,0.865261423717933,0.85508752053606,0.874769797421731,0.87173100871731,0.855823160673045,0.853617527826082,0.856036029159192,0.850906400295967,0.840657241115781,0.851900393184797,0.846598820832243,0.828281620588232,0.813890396093326,0.781822623992182,0.794701986754967,0.784873349982162,0.784933459715551,0.802103662506524,0.791033134223137,0.788804071246819,0.82089552238806,0.83990904013831,0.819893089159702,0.812411083421653,0.820544009221059,0.825423029302518,0.841810647422508,0.856241550247859,0.833002776675922,0.845070422535211,0.842552736445964,0.849181661333351,0.858865242326422,0.842696629213483,0.833965125094769,0.816422884650991,0.815073546906606
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.12404092071611,2.16666666666667,2.15,2.07107843137255,1.9,1.925,1.9,1.9,1.80116758241758,1.82291666666667,1.8854271991911,2.03125,2.140625,2.19015708764493,2.12169003115265,1.99376947040498,1.90361952861953,1.92121212121212
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris",4,,,,,,,,,,,0.59756688277815,0.633971291866029,0.627853881278539,0.617529880478088,0.627853881278539,0.618792378288999,0.610902255639098,0.617750882501261,0.643004115226337,0.610902255639098,0.610902255639098,0.606729509040681,0.617283950617284,0.612244897959184,0.618485863112807,0.612959719789842,0.614409036184375,0.620304429317305,0.641319285387082,0.648500027921849,0.651302605210421,0.635941541803333,0.648252730806585,0.620963735717834,0.615893447714055,0.620664476086163,0.626849112426035,0.636023737237416,0.644850701318233,0.655178868820925,0.690184049079755,0.703828828828829,0.703720142932472,0.708888888888889,0.703957382039574,0.721276595744681,0.717781155015198,0.708366219415943,0.710659898477157,0.751133786848073,0.720260223048327,0.716180371352785,0.703957382039574,0.756654677405983,0.735294117647059,0.740043057050592,0.696869321709496,0.708745092207594,0.731215330307615,0.719581334496293,0.738760620475079,0.747915644923982,0.753539865263743,0.729977116704805,0.736607142857143,0.745313664289583,0.692964435084113,0.71262320528472,0.708699902248289,0.728633320204805,0.718020451102863,0.728298185384993,0.728298185384993,0.728298185384993,0.728298185384993,0.733398961875783,0.728298185384993,0.727449585303334,0.743348982785602,0.723821334299195,0.710659898477157,0.723156319465925,0.729755178907721,0.747915644923982,0.748502994011976,0.747915644923982,0.760356581017305,0.748242278648693,0.744036422341817,0.738683127572016,0.73469387755102,0.734218487012692,0.745257452574526
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645638722529467,0.639225442442533,0.663963989281475,0.657155136850652,0.630693763139453,0.663632916192643,0.66649387745116,0.663632916192643,0.662715590912387,0.66453827263935,0.662251655629139,0.668248130332502,0.677080792476353,0.681431005110733,0.673885052746601,0.678296184936574,0.696022727272727,0.683890577507599,0.678866587957497,0.650573420625452,0.675427512921288,0.696022727272727,0.72400724971889,0.717821865538691,0.717131474103586,0.696692483892561,0.696022727272727,0.684531875407676,0.688976377952756,0.689688967278764,0.667372881355932,0.673036852804118,0.676246830092984,0.690349293563579,0.679824561403509,0.691417957042957,0.679510971736356,0.688775510204082,0.691402447503824,0.683624932650639,0.696443419385493,0.688838029319022,0.653489404952043,0.682419906061019,0.68973862536302,0.671089005710142,0.692684814780337,0.695825049701789,0.69888855661882,0.696022727272727,0.705689850377706,0.695091804632689,0.704225352112676,0.696668388429752,0.688093225234213,0.691514299109236,0.701590271281572,0.692302100690645,0.71875,0.719716394331961,0.71589218618977,0.697413456311999,0.709432454036771
"60618","Chicago","IL","Chicago-Naperville-Elgin","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45833333333333,1.41666666666667,1.45119327731092,1.44022222222222,1.32238325281804,1.26873401534527,1.23529411764706,1.19288537549407,1.25,1.31244707874682,1.35,1.47,1.432,1.38228941684665,1.39087301587302,1.28,1.27216994788651
"28269","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.621722909384243,0.665134724085138,0.670208867717113,0.708399676272017,0.721358340514755,0.717231260254516,0.711775043936731,0.703786191536748,0.704550604374643,0.69613457408733,0.69613457408733,0.692760651195012,0.682400292718624,0.685466764349601,0.713228114243833,0.715505464480874,0.718585402558314,0.722857454721174,0.734002509410289,0.73079971791278,0.738188976377953
"30349","Riverdale","GA","Atlanta-Sandy Springs-Roswell","Clayton",8,,,,,,,0.546799614023802,0.577179840988238,0.585834590246355,0.617408780036776,0.573671497584541,0.580820948336872,0.563173359451518,0.562836679725759,0.567226890756303,0.573089470902907,0.601906253051864,0.56390977443609,0.547178988326848,0.539645743295246,0.550884348127263,0.545862412761715,0.560044753477072,0.549324788281071,0.531226199543031,0.544554455445545,0.547178988326848,0.569764501667487,0.554609123604013,0.579268292682927,0.567109777015437,0.56564990595125,0.565262076053443,0.555229142185664,0.564543532388472,0.5638249887235,0.558659217877095,0.559006426837864,0.561929321369366,0.561797752808989,0.563308706903748,0.568798067442319,0.593434343434343,0.590926420129623,0.58349609375,0.587544065804935,0.570436507936508,0.579229765549551,0.578235947992934,0.581103725374019,0.572502210433245,0.575998387771527,0.587544065804935,0.576404707668945,0.588140633585062,0.588156090873482,0.584469707321072,0.589225589225589,0.579777365491651,0.598659003831418,0.609110169491525,0.582072176949942,0.593187906620742,0.598184818481848,0.605778191985089,0.589511922503726,0.620638085742772,0.609243697478992,0.604651162790698,0.615182778168657,0.616003763693486,0.595546349041947,0.608859397417504,0.632063882063882,0.610393752796998,0.610889407504609,0.621784339652283,0.623084291187739,0.630169596574262,0.645948151853736,0.64507690275987,0.636132315521629,0.641037735849057,0.619334636547929,0.650075101544049,0.648298217179903,0.643776824034335,0.651530060970904,0.678610206297503,0.703188999732729,0.712318881543056,0.663304528843505,0.659400383990548
"94565","Pittsburg","CA","San Francisco-Oakland-Hayward","Contra Costa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27755511022044,1.31367292225201,1.38821505534807,1.37535816618911,1.3550576202008,1.4042303172738,1.28084896347483,1.35208220659816,1.37276241477449,1.24545926310327,1.38441725692209,1.33475707421249
"79912","El Paso","TX","El Paso","El Paso",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.743656835512241,0.756693830034924,0.751764344891071,0.749556232233385,0.739497887148894,0.744859420898028,0.74249486292788,0.714141838883073,0.716221447928765,0.719040625687871,0.738255033557047,0.769925093632959,0.800317152310301,0.740095777100566,0.740095777100566,0.763205828779599,0.759577278731836,0.798580301685892
