"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"10025","New York","NY","New York-Newark-Jersey City","New York",1,,,,,,,,,,,,,,5000,4795,4962.5,5195,5500,5400,5200,5337.5,5087.5,5000,5000,5000,4875,4850,5000,5200,5400,5487.5,5300,5650,5600,5150,5000,5175,5650,5700,5575,5425,5350,5000,5500,5075,5397.5,5397.5,5175,5500,5250,5250,5000,5150,5000,5041,5175,5000,4895,4800,4800,4897.5,4950,5075,5000,5000,5000,4947.5,4847.5,4800,4947.5,5000,4800,5000,5000,5000,5000,5000,4895,4895,4950,4823,4972.5,4847.5,4800,4847.5,4947.5,5175,5125,5225,5000,4800,4800,4800
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook",2,,,,,,,,,,,,,,3122.5,3100,3075,3025,2950,2987.5,3100,3000,2995,2972.5,2995,3025,3025,2900,3200,3200,3200,3600,3500,3400,3400,3499.5,3400,3400,3400,3200,3200,3200,3472.5,3400,3200,3050,2900,2995,3000,3095,3195,3095,3495,3600,3600,3300,3200,3095,3097.5,3195,3195,3195,3195,3195,3400,3475,3600,3300,3200,3225,3250,3600,3250,3300,3275,3300,3495,3600,3800,3600,3460,3395,3030,3045,3147.5,3200,3350,3600,3600,3675,3800,3700,3400,3200
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris",3,,,,,,,,,,,2100,2025,2000,2115,2275,2375,2250,2300,2497.5,2300,2225,2100,2200,2347.5,2300,2372.5,2350,2300,2200,2200,2200,2300,2300,2290,2250,2200,2250,2300,2300,2300,2397.5,2400,2300,2400,2397.5,2350,2300,2300,2350,2350,2375,2400,2400,2400,2400,2350,2300,2350,2275,2298,2200,2250,2295,2400,2300,2300,2200,2150,2300,2195,1999.5,2175,2095,2162.5,2100,2200,2200,2200,2200,2250,2300,2400,2400,2400,2300,2300,2289.5,2287.5,2300,2275,2250,2197.5,2200
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3900,3600,3825,4000,3995,3825,3625,3600,3650,3400,3300,3300,3300,3300,3762.5,4200,3995,3995,3697.5,3600
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris",5,,,,,,,1300,1300,1350,1350,1325,1312.5,1350,1350,1350,1337.5,1350,1300,1350,1350,1350,1395,1400,1397.5,1475,1450,1450,1495,1475,1485,1500,1512.5,1500,1500,1500,1495,1450,1450,1450,1472,1500,1500,1585,1550,1525,1525,1550,1525,1525,1525,1547.5,1550,1550,1532.5,1525,1550,1600,1595,1550,1517,1525,1525,1537.5,1550,1595,1595,1600,1550,1525,1500,1475,1450,1450,1457.5,1485,1500,1525,1545,1550,1500,1550,1550,1550,1550,1520,1550,1557.5,1644,1600,1650,1600,1600,1600
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1700,1700,1575,1500,1500,1500,1495,1500,1500,1675,1650,1625,1550,1600,1600,1675,1650,1650,1675,1651.5,1625,1600,1650,1750,1672.5,1600,1650,1630,1650,1600,1597.5,1625,1687.5,1595,1600,1625,1650,1612.5,1582.5,1570,1550,1599.5,1600,1550,1649.5,1650,1599,1650,1695,1662.5,1672.5,1600,1600,1600,1599,1600,1637.5,1600,1650,1695,1657.5,1600
"60618","Chicago","IL","Chicago-Naperville-Elgin","Cook",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,2995,2800,2800,2700,2700,2700,2925,3100,3350,2997.5,2912.5,2800,2900,2995
"28269","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1575,1627,1649,1625,1595,1650,1649.5,1650,1650,1650,1625,1640,1645,1680,1695,1695,1650,1655,1695,1695
"30349","Riverdale","GA","Atlanta-Sandy Springs-Roswell","Clayton",9,,,,,,1200,1245,1250,1200,1187.5,1250,1200,1200,1200,1200,1200,1200,1175,1200,1200,1150,1100,1125,1125,1150,1195,1200,1200,1195,1200,1200,1200,1200,1200,1200,1200,1175,1195,1200,1200,1225,1200,1150,1155,1195,1190,1195,1247,1200,1200,1200,1225,1250,1250,1235,1250,1250,1250,1225,1222.5,1250,1250,1285,1297.5,1250,1300,1237.5,1295,1285,1295,1299,1325,1299.5,1400,1450,1425,1495,1497.5,1495,1375,1333.5,1345,1350,1395,1445,1472.5,1450,1439.5,1400,1400,1395,1400,1397.5
"94565","Pittsburg","CA","San Francisco-Oakland-Hayward","Contra Costa",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2495,2395,2395,2500,2500,2450,2462.5,2500,2400,2400,2525
