"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01077","Southwick","MA","Springfield, MA, MA","Springfield, MA",,2.82118405155054,100,0,0,250500,0.240096038415366,4.5929018789144,0.0466866267465069,,0.059010152284264,0.053763440860215,73
"Zip","01081","Wales","MA","Springfield, MA, MA","Springfield, MA",,7.78628003758894,,,,210400,0.669856459330144,7.12830957230142,0.056606463878327,,0.0669642857142857,0,73
"Zip","01082","Ware","MA","Springfield, MA, MA","Springfield, MA",,1.35051684789905,87.5,0.0625,20.95,190000,0.422832980972516,8.50942318675043,0.0607263157894737,,0.0981684981684982,0.141791044776119,79
"Zip","01085","Westfield","MA","Springfield, MA, MA","Springfield, MA",,1.26191435091959,90.48,0.0455,23.87,256800,0.66640533124265,4.68813697513249,0.0705140186915887,,0.057281758613401,0.0922509225092251,53
"Zip","01089","West Springfield","MA","Springfield, MA, MA","Springfield, MA",,2.23855551080682,100,0.1304,2.77,219700,0.319634703196347,6.34075508228461,0.0534137460172963,,0.0728070175438597,0.0481927710843373,71
"Zip","01095","Wilbraham","MA","Springfield, MA, MA","Springfield, MA",,1.75929654987247,77.78,0,1.97,292500,0.274254370929037,4.68861846814603,0.0452068376068375,,0.0582205822058221,0.0563380281690141,80
"Zip","01096","Williamsburg","MA","Springfield, MA, MA","Springfield, MA",,8.09169015975299,100,,,255000,0.591715976331361,5.72139303482587,0.0627333333333333,,0.0459016393442623,0,79
"Zip","01098","Worthington","MA","Springfield, MA, MA","Springfield, MA",,2.19895287958115,100,,,242200,-0.452116728318948,3.54852501068833,0.0632782824112303,,0.0564971751412429,0.1,79
"Zip","01104","Springfield","MA","Springfield, MA, MA","Springfield, MA",,2.87018391730434,100,0.0952,4.68,143000,0.846262341325811,9.57854406130268,0.0862027972027972,,0.106410256410256,0.136546184738956,73
"Zip","01105","Springfield","MA","Springfield, MA, MA","Springfield, MA",,0.0671231037723184,,0,36.56,,,,,,0.198529411764706,0.111111111111111,74.5
"Zip","01106","Longmeadow","MA","Springfield, MA, MA","Springfield, MA",,1.75795408779702,71.43,0.0312,1.79,349100,0.143430866322433,4.39593301435407,0.0368032082497851,,0.0568720379146919,0.0256410256410256,78
"Zip","01107","Springfield","MA","Springfield, MA, MA","Springfield, MA",,3.20378574305276,66.67,0,0,150100,0.670690811535882,10.448859455482,0.0650899400399734,,0.124324324324324,0.0869565217391304,74.5
"Zip","01108","Springfield","MA","Springfield, MA, MA","Springfield, MA",,0.914216673378977,77.78,0.1579,2.82,159500,0.758054327226785,9.47151681537406,0.0601630094043888,,0.1239092495637,0.0892018779342723,69
"Zip","01109","Springfield","MA","Springfield, MA, MA","Springfield, MA",,2.93059471069942,100,0.0667,10.56,132400,1.06870229007634,8.52459016393443,0.0824773413897282,,0.119945479327578,0.143939393939394,81
"Zip","01118","Springfield","MA","Springfield, MA, MA","Springfield, MA",,2.24862397637267,100,0.0294,4.08,175100,0.286368843069874,7.29166666666667,0.0591890348372359,,0.0879940343027591,0.0677966101694915,69
"Zip","01119","Springfield","MA","Springfield, MA, MA","Springfield, MA",,3.57967512417774,100,0.1667,5.46,165000,0.794135613927917,7.28218465539662,0.0780363636363637,,0.0983690112130479,0.119170984455959,80
"Zip","01128","Springfield","MA","Springfield, MA, MA","Springfield, MA",,4.99731507584911,100,,,189600,0.636942675159236,5.56792873051225,0.0672362869198313,,0.0693548387096774,0.0930232558139535,74.5
"Zip","01129","Springfield","MA","Springfield, MA, MA","Springfield, MA",,1.73781715666532,100,0.0769,3.83,176100,0.341880341880342,5.26001195457262,0.0648324815445769,,0.0725462304409673,0.137254901960784,74.5
"Zip","01151","Springfield","MA","Springfield, MA, MA","Springfield, MA",,2.02644650288629,66.67,0.1111,7.6,146500,1.3840830449827,10.7331821617536,0.0755631399317407,,0.130645161290323,0.0987654320987654,74.5
"Zip","01201","Pittsfield","MA","Pittsfield, MA, MA","Pittsfield, MA",,0.898107128473621,80.95,,,162300,0.185185185185185,4.50740502253703,0.0294947627849662,,0.095075016307893,0.039451114922813,77
"Zip","01220","Adams","MA","Pittsfield, MA, MA","Pittsfield, MA",,0.289971808296416,66.67,,,139500,0.21551724137931,4.57271364317841,0.0318494623655914,,0.115451388888889,0.0601503759398496,87
"Zip","01223","Becket","MA","Pittsfield, MA, MA","Pittsfield, MA",,2.19358303127937,100,,,219900,0.319343065693431,9.78532201697454,0.0215188722146431,,0.0909090909090909,0.0571428571428571,87
"Zip","01225","Cheshire","MA","Pittsfield, MA, MA","Pittsfield, MA",,0.956504228755538,100,,,199700,-0.15,7.13519313304721,0.0115673510265397,,0.0847107438016529,0.0487804878048781,87
"Zip","01226","Dalton","MA","Pittsfield, MA, MA","Pittsfield, MA",,0.534299906027655,,,,184800,0.271296798697775,4.28893905191874,0.0247943722943722,,0.0896739130434783,0.0808080808080808,87
